"number","org.Ks","org.vwc_s","org.vwc_r","org.vwc_fc","org.vwc_wp","org.VG_alpha","org.VG_n","org.thermcond","org.thermcap","min.Ks","min.vwc_s","min.vwc_r","min.vwc_fc","min.vwc_wp","min.VG_alpha","min.VG_n","min.thermcond","min.thermcap","period","variable","RMSE.mean","NRMSE.mean","R2.mean","NSE.mean"
"0015",0.904855288215443,0.55,0.01,0.110728194565432,0.0119713414336644,0.00150524172829464,2.03565914000524,0.426767771819141,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",3.68090842869327,0.18505092300019,0.798159265925234,0.46473491328065
"0016",0.565209955045024,0.55,0.01,0.286849609783044,0.13733211903768,0.00783758922418812,1.20435995719023,20.8854266830208,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.43308405641777,0.228665324919811,0.794928212689515,0.137809705328687
"0016",0.565209955045024,0.55,0.01,0.286849609783044,0.13733211903768,0.00783758922418812,1.20435995719023,20.8854266830208,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.135336396010626,0.272238018929629,0.52027872464944,-0.0158485227328193
"0016",0.565209955045024,0.55,0.01,0.286849609783044,0.13733211903768,0.00783758922418812,1.20435995719023,20.8854266830208,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",5.14071521154588,0.266870406979544,0.723408816674311,-0.151721028850789
"0016",0.565209955045024,0.55,0.01,0.286849609783044,0.13733211903768,0.00783758922418812,1.20435995719023,20.8854266830208,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.152032405774588,0.297154888725853,0.401715061665103,0.251413080167839
"0017",0.366650622161701,0.55,0.01,0.0838226418060356,0.0119655470229383,0.0024282561735739,1.95218308867235,5.69220519638737,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",3.90709970773421,0.199585242770742,0.811900417864918,0.334389509862478
"0017",0.366650622161701,0.55,0.01,0.0838226418060356,0.0119655470229383,0.0024282561735739,1.95218308867235,5.69220519638737,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","VWC",0.146364142926427,0.29268072586579,0.526166713602742,-0.26581285850681
"0017",0.366650622161701,0.55,0.01,0.0838226418060356,0.0119655470229383,0.0024282561735739,1.95218308867235,5.69220519638737,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","temp",4.62749042060758,0.23854819027724,0.752394484449348,0.0757733182191126
"0017",0.366650622161701,0.55,0.01,0.0838226418060356,0.0119655470229383,0.0024282561735739,1.95218308867235,5.69220519638737,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"val","VWC",0.158889481042526,0.300302144082586,0.446961808364946,0.220578271934954
"0018",0.655441015100249,0.55,0.01,0.275962988856038,0.0654351828003067,0.00154154516087146,1.418160559054,7.8578530434909,2600000,0.00125,0.41,0.01,0.190931927484105,0.0485833271836088,0.002,1.41,1.62,2e+06,"cal","temp",4.43828964198845,0.229916740776889,0.80129497772602,0.127541401759432
